Nitrogen,Phosphorous,Potassium,Temparature,Humidity,Ph,Moisture,rainfall,Crop Type
30,0,1,23.64,54.21,6.128517174,33.68,301.6444798,Barley
14,37,0,24.2,55.48,8.106014926,57.9,329.2189538,Barley
42,2,2,31.27,50.14,6.29339405,42.65,343.7938799,Barley
6,28,11,29.75,56.27,6.028553755,31.85,344.9531023,Barley
20,24,4,22.73,57.96,6.345628012,38.9,324.4213959,Barley
11,32,8,35.43,75.29,5.9527995,47.09,327.9933903,Barley
13,37,3,38.55,59.74,6.636512713,67.6,398.2521297,Barley
44,0,0,34.14,52.29,6.045768577,37.41,380.5924955,Barley
10,24,11,40,67.75,6.309326926,57.85,345.4042745,Barley
44,0,0,35.65,71.86,6.244661534,53.99,395.4842753,Barley
17,20,0,25.4,51.85,6.686282383,40.41,399.9140155,Barley
25,22,0,25.41,59.6,6.910629414,47.88,340.1270752,Barley
17,16,13,35.85,63.92,6.647757153,50.71,348.1599642,Barley
11,14,16,28.87,57.65,7.997371292,56.9,378.4620509,Barley
12,8,10,30.69,61.53,5.355377161,44.72,365.3141299,Barley
38,0,0,29.14,59.77,5.509184003,42.79,344.6332445,Barley
28,14,0,26.95,50.63,5.084763006,43,318.9525973,Barley
10,18,4,31.76,43.24,6.592053078,56.29,370.6903534,Barley
2,17,17,25.8,57.61,6.835902479,40.46,312.8505427,Barley
11,31,0,32.27,43.73,5.863612415,42.3,310.1750319,Barley
2,34,13,29.86,65.84,6.470843157,66.44,346.6379585,Barley
9,32,9,25.3,51.45,4.604797181,24.59,367.9154166,Barley
42,0,3,32.94,50.95,4.847888808,43.98,371.1714289,Barley
6,13,12,25.28,55.82,5.635102876,32.12,346.8667334,Barley
7,5,0,31.8,56.53,7.456784444,35.42,337.5445745,Barley
14,36,0,33.24,67.96,7.508963637,42.8,315.6208471,Barley
9,16,20,20,55.62,6.331081649,31.35,394.5816862,Barley
38,0,0,35.09,72.5,4.503984636,46.73,310.2012547,Barley
17,14,0,29.89,55.53,6.404720071,32.61,364.6823806,Barley
35,3,4,26.11,61.27,7.764849541,51.36,334.0673451,Barley
9,25,2,31.87,60.06,7.870936359,34.29,385.1590287,Barley
19,19,1,32.19,56.71,6.678475412,42.67,310.2788095,Barley
13,34,7,27.59,59.58,6.084548624,58.65,302.0748882,Barley
17,12,0,28.58,56.91,6.803598394,45.99,363.1374801,Barley
13,34,4,32.94,58.58,6.206734741,52.48,376.6801293,Barley
17,15,1,26.49,47.23,6.396305717,30.23,368.3433691,Barley
9,14,0,35.79,66.77,6.601930366,34.39,378.4785564,Barley
13,34,1,33.21,79.62,6.175956059,35.61,362.688589,Barley
10,37,1,29.49,61.99,6.35231246,38.54,349.1029989,Barley
10,10,2,32.34,69.02,6.421004059,43.22,305.7027846,Barley
33,1,4,32.02,60.85,7.723496308,31.09,343.0284829,Barley
44,4,0,39.37,73.58,5.758543143,47.49,382.240218,Barley
37,0,3,38.27,63.64,7.147713664,34.87,373.1298676,Barley
17,22,4,34.15,64.07,5.597585475,42.61,398.7497883,Barley
35,0,0,32.11,71.08,5.94332302,29.01,373.91127,Barley
18,36,4,40,53.38,6.802071102,44.17,369.9625356,Barley
6,16,20,25.82,61.11,6.372491032,39.24,326.2500357,Barley
7,32,9,30.69,60.36,6.32960293,64.89,319.236509,Barley
17,28,2,31.35,62.93,6.407625073,34.02,338.3107587,Barley
25,19,1,31.97,58.12,5.10600236,24.71,394.711445,Barley
12,13,0,29.04,70.01,7.932128337,36.9,376.6238526,Barley
9,17,13,31.46,62,8.420967538,46.01,391.0558183,Barley
11,12,4,24.68,49.97,6.942968138,70,302.406044,Barley
14,19,14,27.83,67.66,5.705297617,56.62,310.6643299,Barley
35,1,1,28.42,68.97,6.062844701,38.11,354.0098372,Barley
17,8,0,31.81,62.69,4.761960063,55.11,302.9416638,Barley
13,38,4,25.78,64.69,6.898288769,32.38,346.9246568,Barley
28,19,0,30.12,52.36,6.179705551,33.8,360.1919201,Barley
4,28,5,33.93,68.08,5.543264147,68.4,341.8127335,Barley
12,40,0,24.26,66.8,6.132709481,29.59,398.4934987,Barley
13,6,0,30.9,61.42,6.157491539,48.45,341.9101859,Barley
11,12,0,25.24,50.51,5.832857651,43.13,374.4945649,Barley
9,30,4,36.91,57.36,8.391632808,46.79,393.4194611,Barley
26,16,0,30.44,68.6,6.160264122,66.26,339.1242334,Barley
10,19,17,21.74,44.09,6.304048846,59.39,371.8202753,Barley
12,27,4,39.75,66.91,7.061561933,26.89,315.7525214,Barley
13,40,0,34.07,60.31,5.833293104,40.04,397.1781247,Barley
2,21,14,32.92,56.58,6.867456213,28.5,331.8055308,Barley
35,3,0,31.27,43.49,7.478689506,37.61,342.7904441,Barley
39,3,0,36.82,57.69,5.842404435,30.19,373.6731385,Barley
34,4,0,29.02,43.2,6.329671424,31.33,357.1589132,Barley
6,37,3,27.62,67.62,6.808522058,64.74,377.681053,Barley
9,16,18,30.48,61.59,6.31876685,24.88,335.9130735,Barley
10,14,0,30.18,53.72,6.490768737,36.61,325.7729311,Barley
10,35,0,32.45,71.13,4.506178413,36.11,362.2282738,Barley
31,0,0,26.7,56.64,7.134537341,48.14,391.3348712,Barley
14,42,2,32.35,63.16,6.366629207,38.72,388.5458178,Barley
41,3,1,36.03,64.38,4.707265979,52.82,361.7024522,Barley
34,0,2,21.2,48.29,5.741128469,57.03,328.0200473,Barley
4,29,4,34.72,67.85,6.671511925,69.81,386.5522177,Barley
12,27,5,24.53,55.6,6.644492361,43.85,345.7354903,Barley
12,14,0,29,51.21,5.955491927,32.58,362.4603153,Barley
6,13,10,35.59,59.08,7.55299019,70,365.1072233,Barley
19,28,3,22.97,44.59,6.045360213,43.69,364.4152207,Barley
41,0,0,32.71,63.72,6.211486948,42.47,369.4923686,Barley
39,1,1,30.53,63.85,5.308563881,56.3,326.0286285,Barley
11,32,9,34.57,67.12,6.26899046,53.8,353.7156471,Barley
22,20,0,28.36,53.52,4.665460059,39.93,393.5636073,Barley
18,40,1,29.75,58.55,6.575270555,65.87,318.1193648,Barley
33,0,0,32.8,65.87,5.776746281,49.94,304.2448666,Barley
10,24,14,29.21,57.9,5.617750619,34.9,312.0090136,Barley
12,12,0,24.6,59.94,6.558848576,58.54,327.2878258,Barley
1,14,18,32.18,53.01,5.948342581,45.88,320.5485114,Barley
39,0,0,25.95,54.26,5.688668244,48.46,300.2580488,Barley
12,36,0,29.25,62,6.016370008,55.15,357.4278925,Barley
13,16,0,27.86,44.14,7.646145489,58.37,342.1808022,Barley
15,34,0,36.47,68.04,7.205370272,31.14,343.7886809,Barley
4,33,7,30.82,64.35,6.3739712,50.99,381.927173,Barley
13,27,11,30.99,49.27,7.874173596,20,377.7295386,Barley
13,12,17,24.52,56.28,5.594957707,56.79,349.1079235,Barley
2,13,23,28.82,53.07,5.620044229,33.55,353.0329446,Barley
13,32,9,23.54,47.71,6.029434392,27.92,315.6447848,Barley
22,17,2,22.02,60.75,8.373971538,52.93,341.1825052,Barley
13,41,0,39.47,66.89,5.965022353,26.46,361.7151242,Barley
5,9,0,29.84,65.34,4.844232936,35.1,323.9496474,Barley
36,1,2,21.78,46.74,6.646329632,29.02,393.3162095,Barley
34,0,0,30.06,47.8,6.303460748,60.33,354.8227038,Barley
42,0,0,28.81,54.94,6.835940352,41.6,389.9592897,Barley
25,17,0,30.39,67.13,5.275003616,49.2,327.5059452,Barley
3,33,6,25.36,62.76,6.363472021,62.32,333.0652777,Barley
14,11,12,34.51,68.73,6.074002601,69.9,317.6220157,Barley
11,40,0,40,65.47,6.197838755,42.28,305.2221828,Barley
33,0,0,30.83,57.02,6.373601709,57.45,314.4742033,Barley
2,29,9,31.4,56.72,7.184566333,59.17,356.3934824,Barley
11,17,0,22.39,55.39,6.166840675,53.07,361.9958731,Barley
9,11,0,29.8,59.73,6.779685022,35.64,369.8304485,Barley
17,43,2,24.12,52.17,7.038049129,38.96,326.0503199,Barley
9,27,3,31.81,50.57,5.812826902,52.14,300.3222878,Barley
14,16,10,37.39,61.21,6.044690952,53.57,373.3187223,Barley
11,16,16,20.55,42.03,6.608041472,63.54,359.9801422,Barley
5,26,5,24.32,64.62,5.440071948,26.9,382.794674,Barley
40,2,1,25.86,45.62,5.69301114,35.68,342.2746827,Barley
10,10,0,33,62.92,7.748474481,41.61,339.9530439,Barley
26,15,0,35.54,65.54,6.427534762,44.63,351.495286,Barley
10,39,2,32.61,67.03,5.829548832,58.43,343.9881077,Barley
14,41,0,25.47,51.22,6.11688483,21.2,356.275527,Barley
8,31,11,38.72,58.9,8.027751894,38.91,309.3583266,Barley
8,20,18,26.52,47.97,5.922659892,33.66,363.9368023,Barley
10,14,13,33.28,70.59,8.097767948,39.69,344.4708097,Barley
14,10,4,24.08,63.58,6.343153079,64.23,353.2830389,Barley
14,13,10,21.56,46.27,6.609693903,50.02,338.5338265,Barley
15,38,4,30.5,57.68,5.712017485,54.46,358.9054106,Barley
20,19,0,29.07,43.85,5.009574731,43.37,392.2257151,Barley
15,12,0,30.86,69.7,8.074176468,44.53,369.1549345,Barley
15,5,0,34.81,60.62,5.51653951,53.89,329.0912087,Barley
14,4,0,31.13,57.22,6.845046709,49.42,300.8152015,Barley
7,12,0,21.2,52.42,6.675343878,32.81,300.9575035,Barley
15,36,3,32.04,64.28,6.646953593,62.11,378.583805,Barley
37,0,0,27.34,44.53,5.998997198,56.06,352.7227636,Barley
3,10,0,31.69,56.25,7.90793421,40.99,373.9857784,Barley
20,18,4,23.76,60.46,5.16603771,36.53,307.4420738,Barley
13,14,0,27.92,65.12,6.561652646,62.24,370.4674383,Barley
43,0,4,40,80,8.349823214,43.34,392.0833301,Barley
21,19,0,28.97,52.75,6.827499284,22.49,386.4420583,Barley
32,1,0,24.38,56.96,5.652138271,39.27,313.0581177,Barley
11,18,19,26.38,62.82,6.641137457,27.4,377.8914559,Barley
6,17,8,28.97,52.94,6.835103116,43.27,336.8248311,Barley
8,14,17,24.73,56.02,6.623775014,64.26,348.1661249,Barley
18,41,1,31.31,57.34,6.053938367,45,338.4744901,Barley
3,16,18,26.56,61.21,7.303432239,46.73,344.0120296,Barley
11,17,13,30.14,57.67,6.718124336,49.19,301.7614481,Barley
13,11,0,30.11,63.21,6.765151649,39.22,311.745244,Barley
33,0,4,30.94,55.34,6.664376329,55.13,392.4685508,Barley
19,18,0,26.03,65.26,6.056504992,38.25,354.5007087,Barley
15,20,16,32.9,63.12,6.738941588,47.43,391.8590482,Barley
14,35,0,35.73,66.71,6.052131276,33.31,358.9463228,Barley
16,39,1,22.05,60.6,6.047914647,39.49,397.0642102,Barley
12,37,0,37.38,63.08,4.802358148,42.58,379.517957,Barley
26,19,0,31.35,56.17,5.806907002,45.42,365.7773467,Barley
21,13,3,27.08,53.24,7.117591513,47.64,309.3168983,Barley
16,38,0,34.77,61.67,5.954552874,59.77,306.8280879,Barley
35,0,4,34.38,57.6,6.464122332,52.94,397.3445295,Barley
41,0,0,29.46,66.27,5.361545418,38.77,303.0952689,Barley
10,37,0,27.78,57.1,8.172522638,42.64,393.1094652,Barley
15,14,0,27.9,46.88,6.596719704,39.77,354.8370775,Barley
11,26,8,37.6,58.72,5.598908845,21.63,369.9559823,Barley
34,3,0,28.56,69.25,5.593735874,43.73,300.4177434,Barley
13,16,15,30.51,55.65,6.852798771,37.31,371.6071387,Barley
8,25,5,35.6,73.58,6.015392064,37.94,361.7103609,Barley
13,42,0,37.85,71.37,5.656744352,60.91,393.1126122,Barley
0,30,8,29.43,62.46,6.707127538,43.26,384.1189924,Barley
11,38,0,29.93,43.29,8.106624997,48.86,383.0612505,Barley
12,9,0,24.54,49.35,6.756344112,57.77,394.5946086,Barley
5,31,8,24.18,61.7,6.048966906,52.14,350.5197076,Barley
11,32,7,26.05,60.98,7.540775305,50.96,317.4264062,Barley
42,3,0,35.72,63.95,7.415382324,56.88,390.8261431,Barley
26,21,3,25.53,66.09,5.840585772,52.38,372.9361771,Barley
21,24,0,30.44,57.3,6.782981881,35.77,350.07498,Barley
14,4,0,34.28,57.44,6.419202053,41.72,326.3346715,Barley
10,22,11,26.33,58.16,6.146880237,43.91,359.88009,Barley
9,8,0,26.68,44.49,6.768329213,63.42,364.8735079,Barley
9,6,4,25.63,53.63,7.727170713,52.84,399.6879897,Barley
9,8,2,33.73,54.32,6.215307,35.7,345.1333741,Barley
23,25,0,29.55,60.62,4.830197606,45.99,317.9907863,Barley
12,21,15,32.32,65.32,5.073634771,46.1,377.0758415,Barley
18,26,0,29.61,70.69,5.1992652,43.81,337.1188117,Barley
7,31,0,38.03,72.22,5.530176914,45.56,391.6538641,Barley
11,30,12,27.72,44.26,6.537663688,20,368.0276741,Barley
43,0,4,32.64,48.78,5.6708011,46.52,371.8895931,Barley
8,10,0,26.19,59.96,4.557847448,28.29,348.6865789,Barley
1,11,14,25.93,61.01,7.230864148,45.93,322.8082476,Barley
16,40,4,32.55,63.72,6.389941243,35.8,346.4846557,Barley
3,18,22,32.63,64.09,6.850696519,48.36,398.9683658,Barley
10,38,0,25.7,57.86,6.146866384,20,370.8469727,Barley
34,0,0,28.91,55.03,6.933299429,35.94,399.208426,Barley
15,41,0,30.59,68.8,5.123889929,42.49,395.5026382,Barley
8,16,14,26.29,62.82,5.714214594,38.28,391.3927366,Barley
27,28,1,30.25,60.34,5.470421798,33.5,359.6821252,Barley
23,20,1,29.17,64.55,5.607656028,46.56,374.3741194,Barley
8,11,1,26.82,51.3,5.688530793,34.82,363.0468085,Barley
8,20,17,32.12,68.28,6.107148833,42.26,329.1194045,Barley
14,13,15,29.61,70.12,6.506584715,42.17,363.2239138,Barley
10,24,4,28.92,59.44,6.241647771,57.18,313.4390542,Barley
18,36,1,28.09,50.46,5.409756355,25.38,398.5755895,Barley
14,43,3,28.96,54.32,5.059323042,35.97,302.278693,Barley
26,22,1,36.61,57.83,6.410968496,47.58,310.5151626,Barley
16,45,1,32.48,52.45,6.124266748,43.5,351.4246222,Barley
6,31,7,33.54,64.83,6.849984287,36.55,323.6136404,Barley
8,9,10,38.58,57.38,6.048021789,60.1,343.373248,Barley
10,12,3,27.4,53.38,5.675281037,24.91,324.5332507,Barley
16,45,0,22.59,56.96,6.71618127,27.15,329.2081125,Barley
21,23,0,27.09,52.83,6.945230024,49.64,360.3760604,Barley
16,41,3,32.28,51.88,6.215477382,30.19,325.1617881,Barley
16,41,0,37.04,64.29,6.55497743,36.18,377.4082987,Barley
12,15,0,26.66,68.27,4.824173824,47.59,349.4598047,Barley
17,22,0,31.7,60.31,7.161404352,42.96,343.0034143,Barley
7,46,0,32.5,63.91,6.535170333,50.78,391.7188775,Barley
41,4,0,30.66,73.88,6.948250588,52.09,395.755322,Barley
13,40,0,30.09,63.88,6.396427044,29.57,346.8056262,Barley
38,0,3,32.25,57.98,5.635341601,33.41,396.8998552,Barley
6,13,0,30.02,65.59,7.436821235,54.31,379.6432543,Barley
35,0,1,37.6,61.35,6.381255708,36.62,353.0802446,Barley
39,2,0,29.87,53.12,7.921547728,36.23,388.0411569,Barley
16,11,0,30.49,59.07,6.686297246,27.14,302.7696132,Barley
2,32,8,32.29,62.66,6.324507539,37.32,331.9556887,Barley
5,17,16,28.69,51.59,6.922532366,39.81,358.0515577,Barley
5,30,6,27.49,55.27,6.588307957,67.27,347.4343521,Barley
11,25,8,27.26,62.16,6.560336059,33.59,302.211849,Barley
7,17,10,27.38,58.03,5.616856387,33.27,328.9137582,Barley
36,0,3,29.84,46.49,4.990510306,36.19,381.5207062,Barley
27,18,0,26.55,58.11,6.408579517,35.01,339.6836641,Barley
26,22,0,28.71,45.53,6.619860983,37.59,312.7886313,Barley
18,16,1,25.41,49.09,5.169127228,44.03,350.291575,Barley
15,14,19,30.34,65.67,5.18106169,31.36,378.6593225,Barley
10,27,3,31.02,57.58,7.402707005,20,348.7162448,Barley
37,0,2,34.55,55.64,5.806604512,37.76,312.2497066,Barley
8,6,0,32.73,67.1,6.193917986,34.06,322.8772175,Barley
15,38,0,33.02,49.45,7.144215834,31.28,349.4265863,Barley
38,1,0,23.14,53.52,5.935056628,59.52,365.8629649,Barley
10,41,0,32.94,72.52,6.058739494,37.15,396.2251633,Barley
13,11,1,26.88,59.5,7.36074211,33,341.1249143,Barley
12,36,0,30.09,50.47,6.071068073,63.24,317.5488181,Barley
4,24,13,25.07,48.14,6.367788921,38.76,365.6967887,Barley
3,32,4,35.04,68.15,6.958463519,32.62,372.9759693,Barley
36,1,0,35.75,63.57,6.663829463,38.89,318.7431556,Barley
24,15,4,24.8,52.55,5.553372808,31.96,323.6534816,Barley
13,17,0,32.09,75.71,6.36547025,34.53,312.3785492,Barley
12,28,10,32.37,71.46,5.818030409,24.3,389.8482321,Barley
38,0,2,29.25,55.35,7.471713837,49.89,324.195852,Barley
14,13,0,29.28,54.61,6.819508884,62.26,318.1042663,Barley
45,0,0,24.87,53.77,5.355873225,41.62,358.0943799,Barley
8,28,5,23.77,56.55,6.023052298,20,309.3485953,Barley
42,2,0,35.45,66.58,6.788838991,36.72,343.6843908,Barley
7,3,0,24.06,61.27,5.74075732,35.5,320.2875237,Barley
13,35,3,36.1,66.96,6.143039382,25.72,330.5204884,Barley
40,0,0,29.44,57.46,5.914998732,38.52,314.1323028,Barley
35,0,3,32.2,72.21,6.392104447,60.57,382.3948005,Barley
38,0,0,22.61,51.15,4.595243923,40.5,397.1332567,Barley
13,40,1,31.25,65.16,6.638507033,61.75,369.3366728,Barley
40,0,4,38.64,77.51,4.724710348,43,304.2695402,Barley
10,13,3,28.87,60.59,6.752443338,53.34,308.7853826,Barley
4,10,0,30.43,60.58,6.61900012,58.52,390.2616306,Barley
12,16,13,32.92,70.05,6.124348773,54.36,358.9977009,Barley
21,16,2,25.51,66.21,6.531148421,44.24,389.8274064,Barley
42,0,0,36.7,62.62,6.766009248,24.01,342.2924267,Barley
10,32,4,31.2,67.76,7.469490057,37.33,335.143829,Barley
4,20,14,24.3,54.99,6.605399832,32.02,372.7330842,Barley
1,19,19,36.16,66.29,6.434640587,49.05,307.9460706,Barley
13,19,16,28.1,43.56,6.504910422,59.25,389.6617834,Barley
11,16,0,26.65,60.53,7.467986583,40.45,384.4362672,Barley
13,13,3,33.57,71.2,8.193415661,44.05,363.9907075,Barley
27,16,0,29.21,49.47,7.682015789,38.79,357.5609652,Barley
28,25,4,34.96,62.17,6.7558186,32.1,375.7889677,Barley
30,0,0,27.41,49.33,7.264887755,22.31,328.7241715,Barley
11,17,0,37.92,63.52,5.574414272,57.65,343.4968934,Barley
8,14,0,26.52,49.7,7.177433259,59.42,382.2920467,Barley
10,13,12,35.64,58.25,6.230610927,43.11,320.7819711,Barley
9,24,5,31.7,56.56,6.694018489,58.11,302.6175413,Barley
12,37,2,34.62,59.62,6.460072904,38.08,309.2110396,Barley
27,20,0,26.17,53.24,7.857772525,51.31,319.2348781,Barley
10,29,7,32.28,51.98,5.800717958,66.27,341.0108361,Barley
42,0,0,36.95,68.98,5.931072097,59.88,374.6085294,Barley
17,12,3,27.57,59.56,5.543844612,44.62,300.0612338,Barley
14,42,0,25.6,54.32,6.911709625,31.26,340.5566842,Barley
14,36,0,31.8,60.45,6.816578606,29.67,366.0584466,Barley
41,0,0,25.49,51.92,6.364962886,39.46,375.5094135,Barley
6,15,4,27.9,50.42,6.060162976,39.03,382.6980968,Barley
19,18,1,31.12,67.16,5.848147672,45.77,375.9003983,Barley
12,14,0,36.65,65.21,7.125951308,44.67,342.4015953,Barley
13,10,11,31.92,64.08,7.413836018,56.9,376.7164657,Barley
23,17,4,30.7,65.78,5.953786475,39.17,354.968338,Barley
22,20,0,36.31,72.79,5.212785282,46.6,300.5658379,Barley
42,1,1,34.02,52.63,6.747895032,32.14,394.7073588,Barley
40,0,0,30.03,59.76,4.82376143,24.55,323.6781431,Barley
